Total Contract Value (TCV),Account Name,Opportunity Name,Opportunity Stage,Fiscal Period,Opportunity Closure Date,Lead Source,Opportunity Type,Opportunity Owner,Secondary Practice Area,Gross Profit Margin (GPM %),Ascendion Office,Start Date,End Date,Last Modified Date,Commit Status,Probability (%),Created Date,Opportunity Creation Date as per User,Procurement Process,Execution Approach,Account Manager,Super Merge Client Name,Opportunity ID,ID(18 Characters),Previous Opportunity Stage,Opportunity Last Stage change Date,AVA Offering_Tracking,AVA Offering Multi Select Drop down (Val,AVA Platform Considered (Yes/No)?,Proactive?,Alliance Partner,Industry BU Group,Practice,Amount
351000,"Charter Communications Operating, LLC",Xfunction Platform & Ops - ICE (DEN),Negotiation/Review,Q4-2023,11/15/23,Other,New Business,Kelsey Davies,,40,"Denver, CO",11/16/23,12/31/24,10/12/23,High quality,80,8/3/23,8/3/23,Direct,Engineering projects,Amanda Mark,"Charter Communications Operating, LLC",0065c00001JErQf,0065c00001JErQfAAL,Negotiation/Review,9/13/23 17:00,,,,Yes,,CME,Platform Engineering,
1,"Charter Communications Operating, LLC","APS - OneView, AIPO, Rewire & Change Mgmt (DEN)",Proposal Creation,Q4-2023,11/30/23,Employee Referral,New Business,Kelsey Davies,,,"Denver, CO",12/1/23,6/30/24,10/12/23,Low confidence,30,6/7/23,6/7/23,Direct,Engineering projects,Amanda Mark,"Charter Communications Operating, LLC",0065c00001H7r7a,0065c00001H7r7aAAB,Proposal Creation,9/4/23 17:00,,,,Yes,,CME,Platform Engineering,
540800,"Charter Communications Operating, LLC",Digital Marketing - Platform Engineering (NJ/STAMFORD),Negotiation/Review,Q4-2023,11/30/23,Cold call,New Business,julia mickiewicz,,30,NYNJ,12/1/23,5/30/25,10/12/23,Commit,80,8/4/23,8/4/23,Direct,Engineering projects,Julia Mickiewicz,"Charter Communications Operating, LLC",0065c00001JF5pB,0065c00001JF5pBAAT,Negotiation/Review,8/9/23 17:00,,,,Yes,AWS,CME,Platform Engineering,
1,AT&T Inc.,WS: TECH SRV Enterprise - API Connectivity/ Mulesoft Gateway,Qualification,Q4-2023,12/31/23,Industry,New Business,william standard,Integration,35,"Atlanta, GA",1/1/24,6/30/24,10/12/23,Low confidence,20,1/12/23,1/10/23,Direct Procurement,Engineering projects,William Standard,AT&T Inc.,0065c000016AZSa,0065c000016AZSaAAO,Qualification,8/15/23 17:00,,,N/A,Yes,,CME,Platform Engineering,
1152000,AT&T Inc.,WS: BUS IS&C - SOC Analyst Team,Qualification,Q4-2023,12/31/23,Industry,New Business,william standard,,35,Direct - No Region,1/1/24,12/31/24,10/12/23,Low confidence,20,3/23/23,3/23/23,Direct,Engineering projects,William Standard,AT&T Inc.,0065c00001AMY23,0065c00001AMY23AAH,Qualification,8/8/23 17:00,,,,Yes,,CME,Platform Engineering,
160000,"F5 Networks, Inc.",Cloud Economics,Proposal Creation,Q4-2023,11/30/23,Client Referral,New Business,Pawan Anand,,30,"Bay Area, CA",12/1/23,5/31/24,10/12/23,High quality,30,8/25/23,8/22/23,Proactive pitch,Engineering projects,Jaeda LaRocca,"F5 Networks, Inc.",0065c00001MncIv,0065c00001MncIvAAJ,Proposal Creation,8/24/23 17:00,,,,Yes,,CME,Platform Engineering,
1000000,"Cisco Systems, Inc.",Cisco CIO - Vendor Consolidation,Inquiry,Q4-2023,12/15/23,Client Referral,New Business,Pavan Barlota,,,"Bay Area, CA",,,10/18/23,Low confidence,20,10/18/23,,Proactive pitch,Engineering projects,Jeff Cassell,"Cisco Systems, Inc.",0065c00001O4wle,0065c00001O4wleAAB,,10/17/23 17:00,,,,Yes,,CME,Platform Engineering,
1,Sprint/T-Mobile,T-Mobile- QE - Mobile Testing Platforms (Digital),Investigation & Analysis,Q4-2023,10/31/23,Client Referral,New Business,elizabeth stewart,,,"Seattle, WA",6/26/23,8/31/23,8/25/23,Low confidence,10,6/26/23,6/26/23,Proactive pitch,Engineering projects,Elizabeth Stewart,Sprint/T-Mobile,0065c00001IZoP8,0065c00001IZoP8AAL,Investigation & Analysis,6/25/23 17:00,,,,Yes,,CME,Platform Engineering,
1,Sprint/T-Mobile,T-Mobile - Dev MCapacity - Pramod Fernandez,Proposal Creation,Q4-2023,11/30/23,Cold call,New Business,elizabeth dombrowski,,,"Dallas, TX",7/24/23,7/31/24,9/18/23,High quality,30,6/30/23,6/30/23,Direct,Engineering projects,Elizabeth Dombrowski,Sprint/T-Mobile,0065c00001K541y,0065c00001K541yAAB,Proposal Creation,8/1/23 17:00,,,,Yes,,CME,Platform Engineering,
350000,Sprint/T-Mobile,T-Mobile AVA OneView- Meg Knauth (Digital),Proposal Presentation,Q4-2023,12/29/23,Other,New Business,Shannon Krohn,,40,"Seattle, WA",9/1/23,8/31/24,9/14/23,High quality,50,7/19/23,7/19/23,Proactive pitch,Engineering projects,Neil Gulino,Sprint/T-Mobile,0065c00001M27CE,0065c00001M27CEAAZ,Proposal Presentation,7/25/23 17:00,,,,Yes,,CME,Platform Engineering,
200000,"Bandwidth.com, Inc.",CPQ Platform Integration,Investigation & Analysis,Q4-2023,12/15/23,Cold call,New Business,alexandra henderson,,,"Raleigh, NC",1/1/24,6/30/24,9/7/23,Low confidence,10,8/28/23,8/28/23,Direct,Engineering projects,Mason Plymire,,0065c00001Moqmx,0065c00001MoqmxAAB,Investigation & Analysis,8/27/23 17:00,,,,No,,CME,Platform Engineering,
1,"RELX, Inc.",Nearshore - Mexico,Inquiry,Q1-2024,1/31/24,Other,New Business,Jack Warren,,,"Atlanta, GA",,,8/16/23,Low confidence,10,8/16/23,9/4/23,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001MgaLz,0065c00001MgaLzAAJ,,8/15/23 17:00,,,,Yes,,CME,Platform Engineering,
500000,"RELX, Inc.",24/7 Production Support,Inquiry,Q1-2024,2/29/24,Other,New Business,Jack Warren,,,"Atlanta, GA",,,10/23/23,Low confidence,10,10/23/23,,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001O5pM5,0065c00001O5pM5AAJ,,10/22/23 17:00,,,,Yes,,CME,Platform Engineering,
3900000,"Charter Communications Operating, LLC",Video Ops - Platform Ops (DEN),Proposal Creation,Q4-2023,11/17/23,Industry,New Business,Kelsey Davies,Product/Platform Modernization,35,"Denver, CO",3/1/24,12/31/24,10/5/23,Low confidence,30,1/20/23,1/20/23,Direct,Engineering projects,Jordyn Cole,"Charter Communications Operating, LLC",0065c000016bfbs,0065c000016bfbsAAA,Proposal Creation,9/13/23 17:00,,,N/A,No,,CME,Platform Engineering,
1,"Lumen Technologies, Inc.",Support in Edge Computing Division,Inquiry,Q2-2023,4/30/23,SSG,New Business,Nitin Mittal,Product/Platform Modernization,,,,,6/5/23,,0,2/17/23,2/17/23,N/A,Engineering projects,,,0065c000018EgEX,0065c000018EgEXAA0,Inquiry,,,,,,,CME,Platform Engineering,
150000,Sprint/T-Mobile,T-Mobile-System Reliability Pod (Digital),Inquiry,Q4-2023,11/30/23,Geo,New Business,Chelsea Pahls,,,"Seattle, WA",,,8/28/23,Low confidence,0,4/28/23,4/28/23,Direct,Engineering projects,Chelsea Allen,Sprint/T-Mobile,0065c00001Cb5p3,0065c00001Cb5p3AAB,Inquiry,4/28/23 11:29,,,,No,,CME,Platform Engineering,1
291200,Sprint/T-Mobile,T-Mobile-Quantum Roadmap Assessment (Engineering),Inquiry,Q2-2024,6/28/24,Geo,New Business,Chelsea Pahls,,,"Seattle, WA",,,10/13/23,Low confidence,0,4/28/23,4/28/23,Direct,Engineering projects,Chelsea Allen,Sprint/T-Mobile,0065c00001Cb5Ry,0065c00001Cb5RyAAJ,Inquiry,4/28/23 11:25,,,,Yes,,CME,Platform Engineering,1
1,Sprint/T-Mobile,"T-Mobile - IT Market Event, ADM (CIO)",Proposal Presentation,Q4-2023,12/22/23,Industry,New Business,rachel lanois,QE Transformation,30,"Seattle, WA",5/1/23,2/29/24,9/14/23,High quality,50,6/6/22,6/6/22,RFP driven,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0063i00000HKhXu,0063i00000HKhXuAAL,Proposal Presentation,3/22/23 16:45,MLOps;,MLOps,Yes,Yes,,CME,Platform Engineering,400000
150000,Sprint/T-Mobile,T-Mobile-AI/ML Ops for ChatBot (Digital),Inquiry,Q4-2023,11/30/23,Cold call,New Business,Chelsea Pahls,,35,"Seattle, WA",,,8/28/23,Low confidence,0,5/31/23,5/30/23,Direct,DDS,Chelsea Allen,Sprint/T-Mobile,0065c00001G4NP9,0065c00001G4NP9AAN,Inquiry,5/30/23 17:00,,,,Yes,Google Cloud,CME,AI & Data Engineering,
1200000,Sprint/T-Mobile,T-Mobile- Data Compliance Project (CIO),Inquiry,Q4-2023,11/30/23,Cold call,New Business,Abhishek V,,,"SoCal, CA",,,10/4/23,Low confidence,10,5/10/23,5/10/23,Direct,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0065c00001Dw7jz,0065c00001Dw7jzAAB,Inquiry,5/10/23 9:07,,,,No,,CME,AI & Data Engineering,
800000,"Cisco Systems, Inc.",Cisco Data Visualization,Investigation & Analysis,Q4-2023,11/29/23,Other,New Business,Mikaela Rios,,,"Raleigh, NC",6/30/23,2/1/24,8/23/23,Low confidence,10,5/25/23,5/25/23,Direct,Engineering projects,Mikaela Rios,"Cisco Systems, Inc.",0065c00001G34eW,0065c00001G34eWAAR,Investigation & Analysis,5/24/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,"Charter Communications Operating, LLC",Digital Marketing - AI/ML (NJ/STAMFORD),Inquiry,Q4-2023,12/31/23,Cold call,New Business,Pawan Anand,,,NYNJ,1/1/24,6/30/24,10/12/23,Low confidence,0,8/10/23,8/8/23,Direct,Engineering projects,Julia Mickiewicz,"Charter Communications Operating, LLC",0065c00001MeOBV,0065c00001MeOBVAA3,Inquiry,8/9/23 17:00,,,,Yes,AWS,CME,AI & Data Engineering,
0.9,Televista Univision,[ MSA ] Televista Univision,Negotiation/Review,Q3-2023,8/31/23,Employee Referral,New Business,Abhishek V,,0,Direct - No Region,9/4/23,9/4/24,8/24/23,,80,7/27/23,7/3/23,Direct,Engineering projects,William Standard,,0065c00001JDPqK,0065c00001JDPqKAAX,Negotiation/Review,7/26/23 17:00,,,,Yes,,CME,AI & Data Engineering,
100000,Televista Univision,Video analytics and metadata enrichment AI/ML,Qualification,Q3-2023,9/18/23,Other,New Business,Raja Lourdusamy,,,Direct - No Region,10/2/23,12/29/23,7/26/23,,20,6/30/23,6/29/23,Direct,Engineering projects,William Standard,,0065c00001K51uC,0065c00001K51uCAAR,Qualification,7/25/23 17:00,,,,Yes,,CME,AI & Data Engineering,
100000,Televista Univision,Media advanced Analytics AI/ML-predictive scheduling grid POC,Qualification,Q4-2023,10/31/23,Industry,New Business,Raja Lourdusamy,,35,Direct - No Region,11/1/23,3/29/24,7/26/23,,20,3/27/23,3/27/23,Direct,Engineering projects,William Standard,,0065c00001ANJML,0065c00001ANJMLAA5,Qualification,7/25/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,TEGNA,Customer health scoring and AI/ML data engineering,Inquiry,Q4-2023,10/31/23,Industry,New Business,Raja Lourdusamy,,35,Direct - No Region,,,7/26/23,,0,3/29/23,3/28/23,Direct,Engineering projects,William Standard,,0065c00001B8K7B,0065c00001B8K7BAAV,Inquiry,3/29/23 20:29,,,,Yes,,CME,AI & Data Engineering,
1,"Charter Communications Operating, LLC",APS Service Delivery - DBaaS (DEN),Qualification,Q4-2023,11/30/23,Client Referral,New Business,Kelsey Davies,,,"Denver, CO",10/1/23,6/30/24,10/5/23,Low confidence,20,8/7/23,8/7/23,Proactive pitch,Engineering projects,Karen Turner,"Charter Communications Operating, LLC",0065c00001JFcE3,0065c00001JFcE3AAL,Qualification,8/6/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,Sprint/T-Mobile,T-Mobile - AI/Data Alarming - Martin Tall,Qualification,Q1-2024,1/8/24,Industry,New Business,elizabeth dombrowski,,,"Dallas, TX",7/3/23,7/1/24,9/13/23,Low confidence,20,4/5/23,4/5/23,Direct,Engineering projects,Elizabeth Dombrowski,Sprint/T-Mobile,0065c00001BF8VN,0065c00001BF8VNAA1,Qualification,6/29/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,"DISNEY ENTERPRISES, INC.",Data Science Opportunity,Qualification,Q4-2023,10/31/23,Cold call,New Business,cierra devine,,,"Seattle, WA",8/28/23,3/29/24,10/9/23,Low confidence,20,7/28/23,7/28/23,Direct,Engineering projects,Cierra Devine,,0065c00001JDeZE,0065c00001JDeZEAA1,Qualification,7/27/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,ProbablyMonsters,AI Analytics - ProbablyMonsters,Inquiry,Q2-2023,6/26/23,Cold call,New Business,matthew mendoza,,,"Seattle, WA",,,5/11/23,,0,5/11/23,5/8/23,Proactive pitch,Engineering projects,Matthew Mendoza,,0065c00001DwLe1,0065c00001DwLe1AAF,,5/11/23 14:29,,,,Yes,,CME,AI & Data Engineering,
1,"Charter Communications Operating, LLC",AI for Call Center Desktop Apps (CLT),Investigation & Analysis,Q4-2023,12/31/23,Cold call,New Business,Kelsey Davies,,,"Charlotte, NC",1/1/24,12/31/24,10/23/23,Low confidence,10,10/23/23,,Direct,Engineering projects,Sydney Kaufmann,"Charter Communications Operating, LLC",0065c00001O5ohC,0065c00001O5ohCAAR,,10/22/23 17:00,,,,Yes,,CME,AI & Data Engineering,
250000,AT&T Inc.,JB: Fleet AI/Data Modernization,Proposal Creation,Q1-2024,1/30/24,Client Referral,New Business,Jordan Bailey,,,"Austin, TX",1/1/24,4/1/24,10/16/23,,50,9/26/23,,Direct,Engineering projects,Jordan Bailey,AT&T Inc.,0065c00001NfCzT,0065c00001NfCzTAAV,Proposal Creation,9/25/23 17:00,,,,Yes,,CME,AI & Data Engineering,
500000,"RELX, Inc.",India & APAC Azure / On-Prem - ThreatMetrix,Inquiry,Q1-2024,2/29/24,Cold call,New Business,Jack Warren,,,"Atlanta, GA",,,10/23/23,Low confidence,0,10/23/23,,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001O5pzP,0065c00001O5pzPAAR,,10/22/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,"Charter Communications Operating, LLC",Agent Tools (SalesOS) - AI/ML (DEN),Qualification,Q4-2023,11/17/23,Employee Referral,New Business,Kelsey Davies,,,"Denver, CO",9/1/23,12/31/23,10/5/23,Low confidence,20,5/31/23,5/31/23,Direct,Engineering projects,Danielle Maurer,"Charter Communications Operating, LLC",0065c00001G4QNg,0065c00001G4QNgAAN,Qualification,9/13/23 17:00,,,,Yes,,CME,AI & Data Engineering,
1,"RELX, Inc.",Ascendion AVA OneView - LexisNexis Risk Solutions,Inquiry,Q4-2023,11/30/23,Cold call,New Business,Gabrielle Ratcliffe,,,"Atlanta, GA",10/30/23,4/30/24,6/27/23,,30,6/27/23,6/21/23,Direct,Engineering projects,Gabrielle Ratcliffe,"RELX, Inc.",0065c00001IZwVw,0065c00001IZwVwAAL,,6/26/23 17:00,,,,Yes,,CME,AI & Data Engineering,
200000,Sprint/T-Mobile,T-Mobile - Testing and QE for Network Inventory and Transport Automation - Scott Noe (CTO),Proposal Creation,Q4-2023,11/30/23,Cold call,New Business,rachel lanois,,35,"Seattle, WA",1/1/24,12/31/25,9/13/23,High quality,30,6/22/23,6/21/23,Proactive pitch,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0065c00001IZ47N,0065c00001IZ47NAAT,Proposal Creation,8/1/23 17:00,,,,Yes,,CME,Quality Engineering,
200000,Sprint/T-Mobile,T-Mobile - Compliance Autonomous Platforms - Robi McGuire,Proposal Creation,Q4-2023,12/31/23,Client Referral,New Business,rachel lanois,,35,"Seattle, WA",1/1/24,6/30/25,9/13/23,High quality,30,6/14/23,6/14/23,Direct,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0065c00001H9j3c,0065c00001H9j3cAAB,Proposal Creation,8/1/23 17:00,,,,Yes,,CME,Quality Engineering,
500000,Sprint/T-Mobile,T-Mobile - Workflow Automation for Transport Order Management (CTO) - Mike Simmons/Robin Ames,Investigation & Analysis,Q4-2023,12/31/23,Cold call,New Business,rachel lanois,,35,"Seattle, WA",1/1/24,8/31/25,8/11/23,Low confidence,50,8/11/23,8/11/23,RFP driven,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0065c00001MevPh,0065c00001MevPhAAJ,,8/10/23 17:00,,,,Yes,,CME,Quality Engineering,
130000,"Cisco Systems, Inc.",Nearshore Managed Capacity,Proposal Presentation,Q4-2023,11/3/23,Client Referral,New Business,rene weiler,,35,Sacramento,11/1/23,11/8/24,10/5/23,High quality,50,6/28/23,6/28/23,Direct,Cognixia,Rene Weiler,"Cisco Systems, Inc.",0065c00001K4ZHa,0065c00001K4ZHaAAN,Proposal Presentation,8/9/23 17:00,,,,No,,CME,Quality Engineering,
1500000,"RELX, Inc.",WS/CW: RELX - Gov - Rich Petrosino - Onshore Dev POD,Inquiry,Q4-2023,10/13/23,Client Referral,New Business,william standard,,35,"Chicago, IL",10/30/23,4/25/25,8/16/23,Low confidence,0,8/16/23,8/16/23,Proactive pitch,Engineering projects,Casey Warrick,"RELX, Inc.",0065c00001MgfZH,0065c00001MgfZHAAZ,,8/15/23 17:00,,,,Yes,,CME,Quality Engineering,
1,TEGNA,AVA Engineering platform and Quality engineering,Inquiry,Q3-2023,9/15/23,Industry,New Business,Raja Lourdusamy,,35,Direct - No Region,,,6/30/23,,0,3/29/23,3/28/23,Direct,Engineering projects,William Standard,,0065c00001B8K7A,0065c00001B8K7AAAV,Inquiry,3/29/23 20:22,,,,Yes,,CME,Quality Engineering,
100000,Sprint/T-Mobile,T-Mobile- QE - Test Data Management (Digital),Proposal Creation,Q4-2023,10/2/23,Client Referral,New Business,elizabeth stewart,,,"Seattle, WA",6/26/23,8/31/23,8/25/23,High quality,50,6/26/23,6/26/23,Proactive pitch,Engineering projects,Elizabeth Stewart,Sprint/T-Mobile,0065c00001IZn7j,0065c00001IZn7jAAD,Proposal Creation,7/11/23 17:00,,,,Yes,,CME,Quality Engineering,
150000,Sprint/T-Mobile,T-Mobile- QE - Security Automation- (Digital),Proposal Creation,Q4-2023,10/2/23,Client Referral,New Business,elizabeth stewart,,,"Seattle, WA",6/26/23,8/31/23,8/25/23,High quality,30,6/26/23,6/26/23,Proactive pitch,Engineering projects,Elizabeth Stewart,Sprint/T-Mobile,0065c00001IZmt7,0065c00001IZmt7AAD,Proposal Creation,8/1/23 17:00,,,,Yes,,CME,Quality Engineering,
800000,"Charter Communications Operating, LLC",Video Software - Offshore QE (DEN),Inquiry,Q4-2023,11/30/23,Other,New Business,Kelsey Davies,,35,"Denver, CO",1/1/24,12/31/24,10/5/23,Low confidence,0,7/27/23,7/27/23,Direct,Engineering projects,Jordyn Cole,"Charter Communications Operating, LLC",0065c00001JDS8T,0065c00001JDS8TAAX,Inquiry,7/26/23 17:00,,,,Yes,,CME,Quality Engineering,
1,"Charter Communications Operating, LLC",SSPP - AVA OneView (DEN),Investigation & Analysis,Q4-2023,11/15/23,Cold call,New Business,Kelsey Davies,,,"Denver, CO",12/1/23,12/31/24,9/15/23,Low confidence,10,9/14/23,,Direct,Engineering projects,Danielle Maurer,"Charter Communications Operating, LLC",0065c00001NHdcM,0065c00001NHdcMAAT,Investigation & Analysis,9/13/23 17:00,,,,Yes,,CME,Quality Engineering,
1,"Charter Communications Operating, LLC",Digital Platforms Agency - QE Transformation (DEN),Proposal Creation,Q4-2023,12/28/23,Cold call,New Business,Kelsey Davies,,,"Denver, CO",8/31/23,12/31/23,8/9/23,Low confidence,30,6/29/23,6/29/23,Direct,Engineering projects,Danielle Maurer,"Charter Communications Operating, LLC",0065c00001K4kny,0065c00001K4knyAAB,Proposal Creation,8/2/23 17:00,,,,Yes,,CME,Quality Engineering,
10000,Sprint/T-Mobile,"T-Mobile-QE and Automation (supporting TFB Platform) - Ravit Raz, Charles Hawkins, Nelson Rincon ( Digital)",Inquiry,Q4-2023,11/30/23,Geo,New Business,rachel lanois,,,"Seattle, WA",,,9/14/23,Low confidence,0,3/10/23,2/28/23,Proactive pitch,Engineering projects,Rachel Lanois,Sprint/T-Mobile,0065c000019kRMb,0065c000019kRMbAAM,Inquiry,3/10/23 14:43,,,,Yes,,CME,Quality Engineering,250000
1,AT&T Inc.,LD: TECH SRV Retail - API Connectivity & Integration,Qualification,Q4-2023,12/31/23,Industry,New Business,elizabeth dombrowski,Salesforce,35,"Dallas, TX",1/1/24,6/30/24,10/12/23,Low confidence,20,1/26/23,1/26/23,Direct Procurement,Engineering projects,Elizabeth Dombrowski,AT&T Inc.,0065c000016cezF,0065c000016cezFAAQ,Qualification,8/8/23 17:00,,,N/A,Yes,,CME,Enterprise Solutions,
312000,DISH,Project Management - David Noel,Qualification,Q2-2024,6/28/24,Cold call,New Business,Lydia Vankooten,,,"Denver, CO",3/11/24,9/13/24,8/1/23,,20,7/27/23,7/27/23,Direct,Engineering projects,Lydia VanKooten,,0065c00001JDPx1,0065c00001JDPx1AAH,Proposal Presentation,7/31/23 17:00,,,,Yes,,CME,Enterprise Solutions,
1,Sprint/T-Mobile,T-Mobile-Network Performance Automation (Engineering),Inquiry,Q1-2024,1/31/24,Geo,New Business,Chelsea Pahls,,,"Seattle, WA",,,9/14/23,Low confidence,0,3/21/23,3/21/23,Proactive pitch,Engineering projects,Chelsea Allen,Sprint/T-Mobile,0065c00001AM4yK,0065c00001AM4yKAAT,Inquiry,3/21/23 14:04,,,,Yes,,CME,Platform Operations,
40000000,"Charter Communications Operating, LLC",CBO - Core Router Upgrade (DEN),Investigation & Analysis,Q1-2024,1/31/24,Client Referral,New Business,Kelsey Davies,,35,"Denver, CO",2/1/24,12/31/24,8/17/23,Low confidence,10,7/20/23,7/20/23,Direct,Engineering projects,Amanda Mark,"Charter Communications Operating, LLC",0065c00001M2a5i,0065c00001M2a5iAAB,Investigation & Analysis,7/19/23 17:00,,,,No,,CME,Platform Operations,
4000000,"RELX, Inc.",Production Support,Inquiry,Q4-2023,12/31/23,Client Referral,New Business,Pawan Anand,,35,"Atlanta, GA",1/1/24,12/31/26,10/12/23,Low confidence,0,10/12/23,,Direct,Engineering projects,William Standard,"RELX, Inc.",0065c00001NibRR,0065c00001NibRRAAZ,,10/11/23 17:00,,,,Yes,,CME,Platform Operations,
200000,"F5 Networks, Inc.",Intelligent Operations - AIPO,Qualification,Q4-2023,10/31/23,Client Referral,New Business,Pawan Anand,,,"Bay Area, CA",11/1/23,3/31/24,9/7/23,Low confidence,20,8/10/23,8/9/23,Direct,Engineering projects,Jaeda LaRocca,"F5 Networks, Inc.",0065c00001MeOUd,0065c00001MeOUdAAN,Qualification,8/9/23 17:00,,,,Yes,,CME,Platform Operations,
1500000,"F5 Networks, Inc.",Secure Distributed Cloud,Negotiation/Review,Q4-2023,11/30/23,Client Referral,New Business,Jaeda LaRocca,,35,"Bay Area, CA",12/1/23,9/30/24,10/12/23,High quality,80,6/15/23,6/12/23,Proactive pitch,Engineering projects,Jaeda LaRocca,"F5 Networks, Inc.",0065c00001IWBFy,0065c00001IWBFyAAP,Negotiation/Review,8/8/23 17:00,,,,Yes,,CME,Platform Operations,
1,"Charter Communications Operating, LLC",Cost Takeout for BI Prod Operations (CLT),Inquiry,Q4-2023,12/31/23,Cold call,New Business,Kelsey Davies,,,"Charlotte, NC",1/1/24,12/31/24,10/23/23,Low confidence,0,10/23/23,,Direct,Engineering projects,Sydney Kaufmann,"Charter Communications Operating, LLC",0065c00001O5ol4,0065c00001O5ol4AAB,,10/22/23 17:00,,,,Yes,,CME,Platform Operations,
1,"RELX, Inc.",WS/JW: Insurance - Nara Peruka - Nearshore Mexico Buildout,Qualification,Q4-2023,10/13/23,Client Referral,New Business,william standard,,35,"Atlanta, GA",10/30/23,11/1/24,9/7/23,Low confidence,20,9/7/23,9/7/23,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001NGDJZ,0065c00001NGDJZAA5,,9/6/23 17:00,,,,Yes,,CME,Platform Operations,
750000,"RELX, Inc.",WS/JW: CCOE - Allan Changar - Azure Cloud Day 2 Ops,Inquiry,Q4-2023,11/24/23,Employee Referral,New Business,william standard,,30,"Atlanta, GA",11/27/23,11/29/24,9/14/23,Low confidence,10,9/14/23,,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001NHdZX,0065c00001NHdZXAA1,,9/13/23 17:00,,,,Yes,,CME,Platform Operations,
61050,"Charter Communications Operating, LLC",Ops System Support - Splunk Support,Negotiation/Review,Q4-2023,10/31/23,Cold call,New Business,Kelsey Davies,,35,"Denver, CO",10/23/23,12/31/23,10/5/23,Commit,80,10/3/23,,Direct,Engineering projects,Jordyn Cole,"Charter Communications Operating, LLC",0065c00001Ngnj7,0065c00001Ngnj7AAB,Proposal Creation,10/4/23 17:00,,,,Yes,,CME,Platform Operations,
1,"Charter Communications Operating, LLC",IP Video Ops - ICE (DEN),Qualification,Q4-2023,11/30/23,Cold call,New Business,Kelsey Davies,,,"Denver, CO",12/1/23,6/30/24,10/12/23,Low confidence,20,8/3/23,8/3/23,Direct,Engineering projects,Jordyn Cole,"Charter Communications Operating, LLC",0065c00001JEsyn,0065c00001JEsynAAD,Qualification,8/2/23 17:00,,,,Yes,,CME,Platform Operations,
1,Sprint/T-Mobile,T-Mobile - Devops Pods - Pramod Fernandez,Proposal Creation,Q4-2023,11/30/23,Cold call,New Business,elizabeth dombrowski,,,"Dallas, TX",7/30/23,7/30/24,9/13/23,High quality,30,6/23/23,6/23/23,Direct,Engineering projects,Elizabeth Dombrowski,Sprint/T-Mobile,0065c00001IZIIJ,0065c00001IZIIJAA5,Proposal Creation,8/1/23 17:00,,,,Yes,,CME,Platform Operations,1
100000,"RELX, Inc.",GenAI Prompt Generation Training,Inquiry,Q1-2024,2/29/24,Other,New Business,Jack Warren,,,"Atlanta, GA",,,10/23/23,Low confidence,10,10/23/23,,Direct,Engineering projects,Jack Warren,"RELX, Inc.",0065c00001O5pIS,0065c00001O5pISAAZ,,10/22/23 17:00,,,,Yes,,CME,Generative AI,
,"Merck & Co., Inc.",New Data Manufacturing Site,Inquiry,Q1-2024,1/10/24,,,Alexandra Boiardi,,,,,,6/20/23,,0,6/20/23,,,,,,0065c00001IYb11,0065c00001IYb11AAD,,6/19/23 17:00,,,,,,HCLS,,1
250000,GlaxoSmithKline plc,GSK Gen-AI Consulting,Qualification,Q1-2024,1/31/24,Conference / Networking Event,New Business,Girish X Nair,,35,NYNJ,1/29/24,12/31/24,9/21/23,Low confidence,20,5/18/23,5/18/23,Proactive pitch,Engineering projects,Alexandra Boiardi,GlaxoSmithKline plc,0065c00001Dx6Z1,0065c00001Dx6Z1AAJ,Qualification,5/17/23 17:00,,,,No,,HCLS,Enterprise Architecture,
250000,Allianz Life Insurance Company,Allianz - Cognixia - Talent Transformation,Proposal Presentation,Q4-2023,10/31/23,Employee Referral,New Business,Rachel Harrison,,1,Direct - No Region,7/17/23,12/29/23,10/10/23,,50,6/21/23,6/15/23,Proactive pitch,Cognixia,Garth Andrus,,0065c00001IYomq,0065c00001IYomqAAD,Proposal Presentation,6/28/23 17:00,,,,Yes,,HCLS,Enterprise Architecture,
1,Bristol-Myers Squibb (BMS),BMS GenAI with Jeffrey Cohen,Investigation & Analysis,Q4-2023,12/29/23,Cold call,New Business,Lauren Starker,,,NYNJ,12/4/23,12/29/23,9/12/23,Low confidence,10,6/20/23,5/8/23,Direct,Engineering projects,Julia Stella,Bristol-Myers Squibb (BMS),0065c00001IYb3k,0065c00001IYb3kAAD,Investigation & Analysis,6/19/23 17:00,,,,Yes,,HCLS,Enterprise Architecture,1
